ABC Analysis,,,,,,,,,
,,,,,,,,,
,SKU,Total Sales,% Annual Value,Annual Cumulative Value,% Annual Cumulative Value,ABC Codes,,ABC Code,Items
,OFF-PA-10000659,501.39,0.02%,2114746.56,92.06%,C,,,
,FUR-FU-10003039,500.31,0.02%,2115246.87,92.08%,C,,,
,TEC-AC-10003289,499.75,0.02%,2115746.62,92.10%,C,,,
,OFF-PA-10003134,499.61,0.02%,2116246.23,92.12%,C,,,
,TEC-PH-10000193,496.58,0.02%,2116742.81,92.14%,C,,,
,OFF-AR-10004042,496.24,0.02%,2117239.05,92.17%,C,,,
,OFF-BI-10000778,496.02,0.02%,2117735.07,92.19%,C,,,
,TEC-PH-10000439,495.88,0.02%,2118230.95,92.21%,C,,,
,TEC-AC-10002600,495.6,0.02%,2118726.55,92.23%,C,,,
,TEC-AC-10000927,491.84,0.02%,2119218.39,92.25%,C,,,
,TEC-PH-10003095,491.68,0.02%,2119710.07,92.27%,C,,,
,OFF-PA-10000167,489.48,0.02%,2120199.55,92.29%,C,,,
,FUR-BO-10004360,489.38,0.02%,2120688.93,92.32%,C,,,
,OFF-EN-10004483,488.91,0.02%,2121177.84,92.34%,C,,,
,TEC-PH-10000141,488.33,0.02%,2121666.17,92.36%,C,,,
,FUR-FU-10000076,487.51,0.02%,2122153.68,92.38%,C,,,
,OFF-BI-10004001,487.34,0.02%,2122641.02,92.40%,C,,,
,OFF-ST-10004180,483.71,0.02%,2123124.73,92.42%,C,,,
,OFF-ST-10002370,483.42,0.02%,2123608.15,92.44%,C,,,
,TEC-PH-10001615,481.23,0.02%,2124089.38,92.46%,C,,,
,OFF-ST-10002583,480.7,0.02%,2124570.08,92.49%,C,,,
,TEC-MA-10002790,479.99,0.02%,2125050.07,92.51%,C,,,
,TEC-AC-10004420,479.72,0.02%,2125529.79,92.53%,C,,,
,FUR-FU-10004460,479.34,0.02%,2126009.13,92.55%,C,,,
,TEC-AC-10003038,477.93,0.02%,2126487.06,92.57%,C,,,
,TEC-PH-10001300,477.66,0.02%,2126964.72,92.59%,C,,,
,OFF-ST-10000107,477.3,0.02%,2127442.02,92.61%,C,,,
,OFF-AR-10000588,476.17,0.02%,2127918.19,92.63%,C,,,
,TEC-PH-10000586,475.12,0.02%,2128393.31,92.65%,C,,,
,TEC-AC-10001284,469.4,0.02%,2128862.71,92.67%,C,,,
,FUR-FU-10000305,468.47,0.02%,2129331.18,92.69%,C,,,
,TEC-PH-10004522,467.92,0.02%,2129799.1,92.71%,C,,,
,FUR-FU-10000193,467.71,0.02%,2130266.81,92.73%,C,,,
,TEC-AC-10001267,467.22,0.02%,2130734.03,92.75%,C,,,
,TEC-PH-10003215,467.22,0.02%,2131201.25,92.77%,C,,,
,FUR-FU-10002878,467.07,0.02%,2131668.32,92.79%,C,,,
,OFF-BI-10004230,466.3,0.02%,2132134.62,92.81%,C,,,
,OFF-BI-10001658,466.01,0.02%,2132600.63,92.83%,C,,,
,TEC-MA-10002930,465.65,0.02%,2133066.28,92.86%,C,,,
,OFF-AP-10002892,464.2,0.02%,2133530.48,92.88%,C,,,
,FUR-FU-10003374,463.8,0.02%,2133994.28,92.90%,C,,,
,OFF-ST-10001228,462.33,0.02%,2134456.61,92.92%,C,,,
,TEC-AC-10004855,461.87,0.02%,2134918.48,92.94%,C,,,
,OFF-AR-10001615,460.28,0.02%,2135378.76,92.96%,C,,,
,OFF-ST-10001328,459.09,0.02%,2135837.85,92.98%,C,,,
,OFF-SU-10000898,458.7,0.02%,2136296.55,93.00%,C,,,
,OFF-PA-10000241,458.5,0.02%,2136755.05,93.02%,C,,,
,OFF-ST-10001558,457.97,0.02%,2137213.02,93.04%,C,,,
,FUR-FU-10001095,455.44,0.02%,2137668.46,93.06%,C,,,
,FUR-FU-10000629,455.07,0.02%,2138123.53,93.08%,C,,,
,TEC-PH-10004006,453.42,0.02%,2138576.95,93.09%,C,,,
,OFF-AP-10002495,452.97,0.02%,2139029.92,93.11%,C,,,
,OFF-BI-10000315,451.97,0.02%,2139481.89,93.13%,C,,,
,TEC-MA-10002109,449.97,0.02%,2139931.86,93.15%,C,,,
,OFF-ST-10003638,449.66,0.02%,2140381.52,93.17%,C,,,
,OFF-AP-10002403,448.91,0.02%,2140830.43,93.19%,C,,,
,OFF-SU-10002573,448.77,0.02%,2141279.2,93.21%,C,,,
,TEC-MA-10003246,447.97,0.02%,2141727.17,93.23%,C,,,
,OFF-AR-10002956,444.61,0.02%,2142171.78,93.25%,C,,,
,OFF-ST-10002485,444,0.02%,2142615.78,93.27%,C,,,
,OFF-PA-10001977,443.84,0.02%,2143059.62,93.29%,C,,,
,TEC-AC-10002217,443.68,0.02%,2143503.3,93.31%,C,,,
,TEC-PH-10003589,442.56,0.02%,2143945.86,93.33%,C,,,
,FUR-FU-10000222,441.73,0.02%,2144387.59,93.35%,C,,,
,TEC-AC-10003063,440,0.02%,2144827.59,93.37%,C,,,
,FUR-FU-10001588,437.7,0.02%,2145265.29,93.39%,C,,,
,OFF-AR-10002987,436.47,0.02%,2145701.76,93.41%,C,,,
,OFF-AP-10000358,436.13,0.02%,2146137.89,93.42%,C,,,
,FUR-FU-10001861,434.56,0.02%,2146572.45,93.44%,C,,,
,OFF-BI-10000069,433.79,0.02%,2147006.24,93.46%,C,,,
,OFF-EN-10004773,433.72,0.02%,2147439.96,93.48%,C,,,
,OFF-AP-10004859,432.43,0.02%,2147872.39,93.50%,C,,,
,OFF-AR-10000937,431.29,0.02%,2148303.68,93.52%,C,,,
,OFF-ST-10004507,428.75,0.02%,2148732.43,93.54%,C,,,
,TEC-PH-10000149,426.93,0.02%,2149159.36,93.56%,C,,,
,FUR-FU-10004270,426.56,0.02%,2149585.92,93.57%,C,,,
,FUR-BO-10001619,424.9,0.02%,2150010.82,93.59%,C,,,
,OFF-PA-10004381,422.76,0.02%,2150433.58,93.61%,C,,,
,OFF-BI-10001191,422.64,0.02%,2150856.22,93.63%,C,,,
,OFF-LA-10001074,421.01,0.02%,2151277.23,93.65%,C,,,
,TEC-AC-10000397,419.88,0.02%,2151697.11,93.67%,C,,,
,TEC-PH-10002807,419.23,0.02%,2152116.34,93.68%,C,,,
,OFF-PA-10004243,417.34,0.02%,2152533.68,93.70%,C,,,
,OFF-PA-10000483,415.13,0.02%,2152948.81,93.72%,C,,,
,TEC-PH-10003800,413.31,0.02%,2153362.12,93.74%,C,,,
,OFF-BI-10000962,409.99,0.02%,2153772.11,93.76%,C,,,
,OFF-AP-10004532,409.6,0.02%,2154181.71,93.77%,C,,,
,FUR-FU-10002501,409.54,0.02%,2154591.25,93.79%,C,,,
,OFF-ST-10001172,407.02,0.02%,2154998.27,93.81%,C,,,
,OFF-ST-10002289,406.78,0.02%,2155405.05,93.83%,C,,,
,OFF-PA-10001295,405.96,0.02%,2155811.01,93.85%,C,,,
,OFF-AR-10000538,405.36,0.02%,2156216.37,93.86%,C,,,
,OFF-AR-10001897,402.98,0.02%,2156619.35,93.88%,C,,,
,OFF-ST-10000642,402.81,0.02%,2157022.16,93.90%,C,,,
,FUR-BO-10002202,400.02,0.02%,2157422.18,93.92%,C,,,
,TEC-MA-10004458,396,0.02%,2157818.18,93.93%,C,,,
,TEC-PH-10004100,395.78,0.02%,2158213.96,93.95%,C,,,
,FUR-FU-10004960,390.66,0.02%,2158604.62,93.97%,C,,,
,OFF-BI-10002852,390.57,0.02%,2158995.19,93.98%,C,,,
,OFF-AR-10004260,389.7,0.02%,2159384.89,94.00%,C,,,
,TEC-AC-10004001,386.91,0.02%,2159771.8,94.02%,C,,,
,OFF-AP-10002765,386.75,0.02%,2160158.55,94.03%,C,,,
,OFF-BI-10004236,386.08,0.02%,2160544.63,94.05%,C,,,
,TEC-MA-10001570,385.8,0.02%,2160930.43,94.07%,C,,,
,TEC-PH-10004188,384.84,0.02%,2161315.27,94.08%,C,,,
,TEC-AC-10002647,383.04,0.02%,2161698.31,94.10%,C,,,
,TEC-AC-10004864,379.71,0.02%,2162078.02,94.12%,C,,,
,FUR-FU-10004622,379.4,0.02%,2162457.42,94.13%,C,,,
,TEC-PH-10002075,377.97,0.02%,2162835.39,94.15%,C,,,
,FUR-FU-10002045,377.91,0.02%,2163213.3,94.17%,C,,,
,OFF-BI-10002498,377.54,0.02%,2163590.84,94.18%,C,,,
,OFF-EN-10002500,375.73,0.02%,2163966.57,94.20%,C,,,
,OFF-ST-10002301,374.25,0.02%,2164340.82,94.22%,C,,,
,TEC-AC-10004859,374.07,0.02%,2164714.89,94.23%,C,,,
,TEC-AC-10001553,373.79,0.02%,2165088.68,94.25%,C,,,
,OFF-LA-10004544,372.96,0.02%,2165461.64,94.27%,C,,,
,OFF-BI-10003638,369.59,0.02%,2165831.23,94.28%,C,,,
,FUR-FU-10003247,369.25,0.02%,2166200.48,94.30%,C,,,
,OFF-ST-10000464,368.46,0.02%,2166568.94,94.31%,C,,,
,TEC-AC-10003657,367.09,0.02%,2166936.03,94.33%,C,,,
,TEC-AC-10001383,364.85,0.02%,2167300.88,94.35%,C,,,
,TEC-AC-10002399,361.38,0.02%,2167662.26,94.36%,C,,,
,TEC-AC-10004114,360.71,0.02%,2168022.97,94.38%,C,,,
,TEC-AC-10001956,359.7,0.02%,2168382.67,94.39%,C,,,
,FUR-FU-10000521,357.95,0.02%,2168740.62,94.41%,C,,,
,OFF-AP-10000696,357.62,0.02%,2169098.24,94.42%,C,,,
,TEC-AC-10002167,357,0.02%,2169455.24,94.44%,C,,,
,TEC-AC-10003441,355.95,0.02%,2169811.19,94.45%,C,,,
,OFF-BI-10003707,354.02,0.02%,2170165.21,94.47%,C,,,
,OFF-ST-10002406,353.29,0.02%,2170518.5,94.49%,C,,,
,OFF-PA-10000595,351.74,0.02%,2170870.24,94.50%,C,,,
,TEC-MA-10002981,350.97,0.02%,2171221.21,94.52%,C,,,
,TEC-AC-10003027,350.2,0.02%,2171571.41,94.53%,C,,,
,OFF-ST-10004963,348.22,0.02%,2171919.63,94.55%,C,,,
,OFF-ST-10000615,347.31,0.02%,2172266.94,94.56%,C,,,
,FUR-FU-10004090,346.79,0.02%,2172613.73,94.58%,C,,,
,OFF-BI-10001721,346.35,0.02%,2172960.08,94.59%,C,,,
,OFF-ST-10001325,345.84,0.02%,2173305.92,94.61%,C,,,
,OFF-ST-10000876,345.83,0.02%,2173651.75,94.62%,C,,,
,OFF-ST-10000798,344.72,0.02%,2173996.47,94.64%,C,,,
,OFF-AP-10000692,344.58,0.01%,2174341.05,94.65%,C,,,
,FUR-FU-10004597,344.1,0.01%,2174685.15,94.67%,C,,,
,OFF-AP-10001492,343.08,0.01%,2175028.23,94.68%,C,,,
,OFF-BI-10002353,342.77,0.01%,2175371,94.70%,C,,,
,OFF-PA-10004092,342.58,0.01%,2175713.58,94.71%,C,,,
,OFF-AR-10004648,342.55,0.01%,2176056.13,94.73%,C,,,
,TEC-MA-10000904,341.99,0.01%,2176398.12,94.74%,C,,,
,TEC-PH-10004959,341.67,0.01%,2176739.79,94.76%,C,,,
,OFF-ST-10000136,341.42,0.01%,2177081.21,94.77%,C,,,
,TEC-PH-10002293,339.84,0.01%,2177421.05,94.79%,C,,,
,FUR-FU-10000397,338.98,0.01%,2177760.03,94.80%,C,,,
,OFF-ST-10003455,338.12,0.01%,2178098.15,94.82%,C,,,
,OFF-EN-10001335,336.95,0.01%,2178435.1,94.83%,C,,,
,TEC-MA-10003066,336.51,0.01%,2178771.61,94.84%,C,,,
,TEC-PH-10001644,335.89,0.01%,2179107.5,94.86%,C,,,
,OFF-BI-10002225,334.37,0.01%,2179441.87,94.87%,C,,,
,OFF-PA-10003441,334.37,0.01%,2179776.24,94.89%,C,,,
,FUR-FU-10001475,334.09,0.01%,2180110.33,94.90%,C,,,
,OFF-AP-10002998,333.57,0.01%,2180443.9,94.92%,C,,,
,FUR-FU-10002379,331.76,0.01%,2180775.66,94.93%,C,,,
,OFF-AR-10004344,330.92,0.01%,2181106.58,94.95%,C,,,
,TEC-AC-10004227,329.94,0.01%,2181436.52,94.96%,C,,,
,OFF-PA-10003625,328.39,0.01%,2181764.91,94.97%,C,,,
,OFF-PA-10003127,327.11,0.01%,2182092.02,94.99%,C,,,
,OFF-EN-10004206,325.86,0.01%,2182417.88,95.00%,C,,,
,TEC-AC-10002305,324,0.01%,2182741.88,95.02%,C,,,
,TEC-PH-10002817,323.98,0.01%,2183065.86,95.03%,C,,,
,FUR-BO-10003433,322.19,0.01%,2183388.05,95.05%,C,,,
,TEC-AC-10000682,321.85,0.01%,2183709.9,95.06%,C,,,
,OFF-PA-10004530,321.44,0.01%,2184031.34,95.07%,C,,,
,OFF-EN-10000483,320.25,0.01%,2184351.59,95.09%,C,,,
,TEC-MA-10004255,319.92,0.01%,2184671.51,95.10%,C,,,
,OFF-ST-10002214,318.38,0.01%,2184989.89,95.12%,C,,,
,OFF-ST-10000419,317.77,0.01%,2185307.66,95.13%,C,,,
,FUR-FU-10003799,316.48,0.01%,2185624.14,95.14%,C,,,
,OFF-BI-10002931,314.54,0.01%,2185938.68,95.16%,C,,,
,OFF-BI-10004233,310.2,0.01%,2186248.88,95.17%,C,,,
,FUR-FU-10000087,308.99,0.01%,2186557.87,95.18%,C,,,
,OFF-BI-10002824,308.83,0.01%,2186866.7,95.20%,C,,,
,OFF-SU-10001218,307.44,0.01%,2187174.14,95.21%,C,,,
,OFF-SU-10002537,306.9,0.01%,2187481.04,95.22%,C,,,
,OFF-AP-10004980,303.36,0.01%,2187784.4,95.24%,C,,,
,OFF-ST-10000760,301.97,0.01%,2188086.37,95.25%,C,,,
,OFF-ST-10002486,300.14,0.01%,2188386.51,95.26%,C,,,
,TEC-MA-10000597,299.97,0.01%,2188686.48,95.28%,C,,,
,FUR-FU-10001057,299.85,0.01%,2188986.33,95.29%,C,,,
,OFF-AP-10004233,299.2,0.01%,2189285.53,95.30%,C,,,
,TEC-AC-10001266,299,0.01%,2189584.53,95.32%,C,,,
,FUR-FU-10003347,298.2,0.01%,2189882.73,95.33%,C,,,
,OFF-AR-10001725,297.99,0.01%,2190180.72,95.34%,C,,,
,OFF-PA-10003022,297.12,0.01%,2190477.84,95.35%,C,,,
,TEC-AC-10000710,296.64,0.01%,2190774.48,95.37%,C,,,
,OFF-FA-10004854,296.18,0.01%,2191070.66,95.38%,C,,,
,OFF-PA-10001363,294.72,0.01%,2191365.38,95.39%,C,,,
,OFF-AR-10002952,293.7,0.01%,2191659.08,95.41%,C,,,
,TEC-AC-10003447,291.85,0.01%,2191950.93,95.42%,C,,,
,FUR-FU-10002813,291.46,0.01%,2192242.39,95.43%,C,,,
,OFF-AP-10001947,289.45,0.01%,2192531.84,95.44%,C,,,
,OFF-AR-10001915,287.97,0.01%,2192819.81,95.46%,C,,,
,OFF-BI-10001628,287.87,0.01%,2193107.68,95.47%,C,,,
,OFF-EN-10003286,284.83,0.01%,2193392.51,95.48%,C,,,
,OFF-PA-10002421,284.38,0.01%,2193676.89,95.49%,C,,,
,OFF-ST-10002182,284.11,0.01%,2193961,95.51%,C,,,
,OFF-PA-10000380,281.89,0.01%,2194242.89,95.52%,C,,,
,TEC-PH-10001870,281.66,0.01%,2194524.55,95.53%,C,,,
,OFF-PA-10002986,280.56,0.01%,2194805.11,95.54%,C,,,
,TEC-AC-10004518,280,0.01%,2195085.11,95.55%,C,,,
,TEC-MA-10000029,279.96,0.01%,2195365.07,95.57%,C,,,
,OFF-PA-10000565,279.9,0.01%,2195644.97,95.58%,C,,,
,TEC-PH-10004833,279.63,0.01%,2195924.6,95.59%,C,,,
,FUR-FU-10003724,279.56,0.01%,2196204.16,95.60%,C,,,
,OFF-SU-10000381,279.3,0.01%,2196483.46,95.62%,C,,,
,OFF-AP-10002670,277.92,0.01%,2196761.38,95.63%,C,,,
,OFF-LA-10001158,277.38,0.01%,2197038.76,95.64%,C,,,
,OFF-BI-10003719,276.95,0.01%,2197315.71,95.65%,C,,,
,OFF-ST-10000344,276.65,0.01%,2197592.36,95.66%,C,,,
,TEC-AC-10002345,275.5,0.01%,2197867.86,95.68%,C,,,
,OFF-AR-10001958,275.08,0.01%,2198142.94,95.69%,C,,,
,TEC-PH-10000213,272.9,0.01%,2198415.84,95.70%,C,,,
,OFF-BI-10001294,271.44,0.01%,2198687.28,95.71%,C,,,
,FUR-FU-10001591,270.84,0.01%,2198958.12,95.72%,C,,,
,OFF-ST-10001031,270.25,0.01%,2199228.37,95.74%,C,,,
,OFF-BI-10001460,269.67,0.01%,2199498.04,95.75%,C,,,
,OFF-BI-10000309,269.41,0.01%,2199767.45,95.76%,C,,,
,OFF-BI-10001107,269.33,0.01%,2200036.78,95.77%,C,,,
,OFF-PA-10001509,268.5,0.01%,2200305.28,95.78%,C,,,
,OFF-PA-10002558,268.24,0.01%,2200573.52,95.79%,C,,,
,OFF-LA-10003498,266.4,0.01%,2200839.92,95.81%,C,,,
,OFF-AP-10000055,266.33,0.01%,2201106.25,95.82%,C,,,
,TEC-AC-10002718,265.54,0.01%,2201371.79,95.83%,C,,,
,FUR-FU-10001889,265.11,0.01%,2201636.9,95.84%,C,,,
,TEC-AC-10004761,264.44,0.01%,2201901.34,95.85%,C,,,
,OFF-AR-10000658,263.34,0.01%,2202164.68,95.86%,C,,,
,OFF-PA-10002137,262.97,0.01%,2202427.65,95.87%,C,,,
,FUR-FU-10001756,262.76,0.01%,2202690.41,95.89%,C,,,
,OFF-ST-10002205,262.66,0.01%,2202953.07,95.90%,C,,,
,OFF-AP-10003971,262.45,0.01%,2203215.52,95.91%,C,,,
,TEC-PH-10003988,261.6,0.01%,2203477.12,95.92%,C,,,
,FUR-FU-10004093,260.15,0.01%,2203737.27,95.93%,C,,,
,OFF-AP-10002472,259.8,0.01%,2203997.07,95.94%,C,,,
,OFF-ST-10004946,259.68,0.01%,2204256.75,95.95%,C,,,
,OFF-EN-10004386,259.1,0.01%,2204515.85,95.97%,C,,,
,FUR-FU-10000672,258.72,0.01%,2204774.57,95.98%,C,,,
,OFF-BI-10003676,258.72,0.01%,2205033.29,95.99%,C,,,
,OFF-BI-10004308,258.05,0.01%,2205291.34,96.00%,C,,,
,TEC-PH-10004897,257.75,0.01%,2205549.09,96.01%,C,,,
,OFF-PA-10001685,257.55,0.01%,2205806.64,96.02%,C,,,
,OFF-BI-10004828,256.13,0.01%,2206062.77,96.03%,C,,,
,OFF-AR-10003727,254.85,0.01%,2206317.62,96.04%,C,,,
,FUR-FU-10003878,253.65,0.01%,2206571.27,96.05%,C,,,
,TEC-PH-10002350,251.91,0.01%,2206823.18,96.07%,C,,,
,FUR-FU-10001934,251.76,0.01%,2207074.94,96.08%,C,,,
,TEC-AC-10004708,251.4,0.01%,2207326.34,96.09%,C,,,
,OFF-ST-10000649,251.2,0.01%,2207577.54,96.10%,C,,,
,TEC-AC-10004803,250.92,0.01%,2207828.46,96.11%,C,,,
,OFF-LA-10001297,248.4,0.01%,2208076.86,96.12%,C,,,
,OFF-ST-10003324,248.36,0.01%,2208325.22,96.13%,C,,,
,TEC-AC-10000171,248.29,0.01%,2208573.51,96.14%,C,,,
,OFF-EN-10003134,247.61,0.01%,2208821.12,96.15%,C,,,
,FUR-FU-10003577,246.65,0.01%,2209067.77,96.16%,C,,,
,OFF-PA-10001776,246.58,0.01%,2209314.35,96.17%,C,,,
,OFF-PA-10003673,245.44,0.01%,2209559.79,96.18%,C,,,
,FUR-CH-10002017,245.09,0.01%,2209804.88,96.20%,C,,,
,OFF-PA-10002499,244.7,0.01%,2210049.58,96.21%,C,,,
,OFF-EN-10001532,244.51,0.01%,2210294.09,96.22%,C,,,
,FUR-FU-10000246,244.4,0.01%,2210538.49,96.23%,C,,,
,OFF-AP-10003860,244.29,0.01%,2210782.78,96.24%,C,,,
,OFF-BI-10000088,241.56,0.01%,2211024.34,96.25%,C,,,
,OFF-EN-10003040,240.77,0.01%,2211265.11,96.26%,C,,,
,TEC-AC-10000303,239.94,0.01%,2211505.05,96.27%,C,,,
,TEC-PH-10000923,239.84,0.01%,2211744.89,96.28%,C,,,
,OFF-AP-10002082,239.58,0.01%,2211984.47,96.29%,C,,,
,OFF-BI-10001196,239.46,0.01%,2212223.93,96.30%,C,,,
,OFF-PA-10004100,238.46,0.01%,2212462.39,96.31%,C,,,
,OFF-BI-10003291,238.33,0.01%,2212700.72,96.32%,C,,,
,OFF-PA-10000740,237.54,0.01%,2212938.26,96.33%,C,,,
,OFF-SU-10004498,236.99,0.01%,2213175.25,96.34%,C,,,
,FUR-FU-10000023,236.78,0.01%,2213412.03,96.35%,C,,,
,OFF-ST-10002444,235.78,0.01%,2213647.81,96.36%,C,,,
,OFF-LA-10004545,235.56,0.01%,2213883.37,96.37%,C,,,
,OFF-BI-10001098,235.18,0.01%,2214118.55,96.38%,C,,,
,FUR-FU-10004053,234.78,0.01%,2214353.33,96.39%,C,,,
,OFF-AR-10004078,234.77,0.01%,2214588.1,96.40%,C,,,
,OFF-AP-10004249,234.61,0.01%,2214822.71,96.41%,C,,,
,TEC-PH-10001536,234.46,0.01%,2215057.17,96.42%,C,,,
,OFF-AR-10004456,234.24,0.01%,2215291.41,96.43%,C,,,
,TEC-AC-10002331,232.76,0.01%,2215524.17,96.44%,C,,,
,OFF-PA-10000501,231.85,0.01%,2215756.02,96.45%,C,,,
,OFF-ST-10001291,229.98,0.01%,2215986,96.46%,C,,,
,OFF-AP-10001962,229.89,0.01%,2216215.89,96.47%,C,,,
,OFF-AR-10003179,229.58,0.01%,2216445.47,96.48%,C,,,
,OFF-PA-10004665,227.94,0.01%,2216673.41,96.49%,C,,,
,OFF-PA-10002713,227.04,0.01%,2216900.45,96.50%,C,,,
,OFF-ST-10002352,225.04,0.01%,2217125.49,96.51%,C,,,
,OFF-FA-10002280,225,0.01%,2217350.49,96.52%,C,,,
,TEC-MA-10003589,224.94,0.01%,2217575.43,96.53%,C,,,
,OFF-ST-10004258,224.66,0.01%,2217800.09,96.54%,C,,,
,TEC-PH-10000127,223.89,0.01%,2218023.98,96.55%,C,,,
,OFF-PA-10004082,223.44,0.01%,2218247.42,96.56%,C,,,
,OFF-PA-10001166,222.43,0.01%,2218469.85,96.57%,C,,,
,OFF-AR-10003478,219.78,0.01%,2218689.63,96.58%,C,,,
,FUR-FU-10001940,219.69,0.01%,2218909.32,96.59%,C,,,
,OFF-ST-10002562,219.5,0.01%,2219128.82,96.60%,C,,,
,OFF-ST-10003996,218.42,0.01%,2219347.24,96.61%,C,,,
,OFF-PA-10000575,218.09,0.01%,2219565.33,96.62%,C,,,
,OFF-SU-10004261,217.23,0.01%,2219782.56,96.63%,C,,,
,TEC-PH-10000169,216.96,0.01%,2219999.52,96.64%,C,,,
,FUR-FU-10001085,216.34,0.01%,2220215.86,96.65%,C,,,
,FUR-FU-10002445,216.15,0.01%,2220432.01,96.66%,C,,,
,TEC-PH-10002583,215.89,0.01%,2220647.9,96.67%,C,,,
,OFF-PA-10001972,215.14,0.01%,2220863.04,96.68%,C,,,
,OFF-BI-10003910,215.11,0.01%,2221078.15,96.69%,C,,,
,OFF-BI-10004654,214.57,0.01%,2221292.72,96.70%,C,,,
,TEC-PH-10001949,213.48,0.01%,2221506.2,96.70%,C,,,
,OFF-PA-10004156,213.2,0.01%,2221719.4,96.71%,C,,,
,OFF-BI-10004781,212.66,0.01%,2221932.06,96.72%,C,,,
,OFF-BI-10004728,212.07,0.01%,2222144.13,96.73%,C,,,
,OFF-EN-10000461,211.51,0.01%,2222355.64,96.74%,C,,,
,FUR-FU-10003464,210.91,0.01%,2222566.55,96.75%,C,,,
,OFF-PA-10000019,209.95,0.01%,2222776.5,96.76%,C,,,
,OFF-AR-10001468,209.66,0.01%,2222986.16,96.77%,C,,,
,OFF-AR-10002445,209.57,0.01%,2223195.73,96.78%,C,,,
,OFF-BI-10001036,209.3,0.01%,2223405.03,96.79%,C,,,
,OFF-BI-10001636,208.23,0.01%,2223613.26,96.80%,C,,,
,OFF-ST-10000352,208.18,0.01%,2223821.44,96.81%,C,,,
,TEC-AC-10001998,207.9,0.01%,2224029.34,96.81%,C,,,
,OFF-BI-10001575,207.57,0.01%,2224236.91,96.82%,C,,,
,FUR-CH-10002317,207.18,0.01%,2224444.09,96.83%,C,,,
,TEC-MA-10004521,206.99,0.01%,2224651.08,96.84%,C,,,
,OFF-BI-10004826,204.72,0.01%,2224855.8,96.85%,C,,,
,TEC-MA-10000423,204.51,0.01%,2225060.31,96.86%,C,,,
,OFF-AP-10004785,203.94,0.01%,2225264.25,96.87%,C,,,
,TEC-AC-10004992,202.68,0.01%,2225466.93,96.88%,C,,,
,FUR-FU-10004351,202.6,0.01%,2225669.53,96.89%,C,,,
,TEC-PH-10004830,201.57,0.01%,2225871.1,96.89%,C,,,
,OFF-ST-10000885,201.45,0.01%,2226072.55,96.90%,C,,,
,OFF-PA-10003465,201.08,0.01%,2226273.63,96.91%,C,,,
,OFF-PA-10001950,200.16,0.01%,2226473.79,96.92%,C,,,
,TEC-PH-10004071,199.8,0.01%,2226673.59,96.93%,C,,,
,OFF-AP-10004036,199.73,0.01%,2226873.32,96.94%,C,,,
,OFF-EN-10003862,198.46,0.01%,2227071.78,96.95%,C,,,
,OFF-BI-10000050,197.83,0.01%,2227269.61,96.96%,C,,,
,OFF-AR-10002818,197.82,0.01%,2227467.43,96.96%,C,,,
,OFF-EN-10003567,197.82,0.01%,2227665.25,96.97%,C,,,
,TEC-PH-10000702,197.8,0.01%,2227863.05,96.98%,C,,,
,OFF-AP-10003099,197.72,0.01%,2228060.77,96.99%,C,,,
,OFF-FA-10001883,197.61,0.01%,2228258.38,97.00%,C,,,
,OFF-BI-10000474,197.17,0.01%,2228455.55,97.01%,C,,,
,OFF-PA-10002005,197,0.01%,2228652.55,97.02%,C,,,
,OFF-PA-10004911,196.98,0.01%,2228849.53,97.02%,C,,,
,OFF-PA-10000249,196.48,0.01%,2229046.01,97.03%,C,,,
,OFF-AR-10001446,196.35,0.01%,2229242.36,97.04%,C,,,
,FUR-FU-10003976,196.25,0.01%,2229438.61,97.05%,C,,,
,OFF-EN-10001539,196.06,0.01%,2229634.67,97.06%,C,,,
,OFF-SU-10004231,196.02,0.01%,2229830.69,97.07%,C,,,
,OFF-SU-10004884,195.05,0.01%,2230025.74,97.08%,C,,,
,FUR-FU-10004245,194.69,0.01%,2230220.43,97.08%,C,,,
,TEC-AC-10003499,194.55,0.01%,2230414.98,97.09%,C,,,
,FUR-FU-10004909,193.91,0.01%,2230608.89,97.10%,C,,,
,OFF-ST-10003722,193.61,0.01%,2230802.5,97.11%,C,,,
,OFF-FA-10003495,192.13,0.01%,2230994.63,97.12%,C,,,
,OFF-BI-10000174,191.98,0.01%,2231186.61,97.13%,C,,,
,OFF-PA-10001281,191.6,0.01%,2231378.21,97.13%,C,,,
,OFF-PA-10002245,191.36,0.01%,2231569.57,97.14%,C,,,
,OFF-BI-10002706,191.35,0.01%,2231760.92,97.15%,C,,,
,TEC-AC-10001101,190.77,0.01%,2231951.69,97.16%,C,,,
,TEC-PH-10004774,189.65,0.01%,2232141.34,97.17%,C,,,
,TEC-PH-10002844,188.94,0.01%,2232330.28,97.18%,C,,,
,OFF-PA-10003797,187.92,0.01%,2232518.2,97.18%,C,,,
,OFF-AP-10001366,186.66,0.01%,2232704.86,97.19%,C,,,
,OFF-PA-10001457,186.5,0.01%,2232891.36,97.20%,C,,,
,OFF-PA-10003724,184.62,0.01%,2233075.98,97.21%,C,,,
,TEC-AC-10004633,184.54,0.01%,2233260.52,97.22%,C,,,
,OFF-BI-10001617,184.06,0.01%,2233444.58,97.22%,C,,,
,OFF-BI-10004965,184,0.01%,2233628.58,97.23%,C,,,
,FUR-FU-10002364,183.03,0.01%,2233811.61,97.24%,C,,,
